window_start,down_up_byte_ratio,downlink_throughput_bps,psz_mean_down,psz_std_down,psz_p90_down,iat_mean_down,iat_cov_down,burst_cnt,burst_bytes_avg,up_tiny_pkt_rate,label
1755336429,1210514,3228037.333,1012.982427,491.6801905,1292,0.001641479,5.256768654,34,35465.70588,0,0
1755336432,351873,938328,1034.920588,468.2865351,1292,0.001786779,4.61570937,12,29315.91667,0,0
1755336435,344297,918125.3333,1027.752239,485.6001071,1292,0.000719638,4.979717557,4,86054.75,0,0
1755336438,909111,2424296,1057.105814,456.7782366,1292,0.003096257,5.057655256,24,37840.70833,0,0
1755336441,573018,1528048,998.2891986,491.4456099,1292,0.003795487,4.435794373,23,24828.65217,0,0
1755336444,734919,1959784,1072.874453,448.5617425,1292,0.00436006,5.951818,19,38626.47368,0,0
1755336447,453787,1210098.667,1001.737307,493.1288843,1292,0.006465571,4.267543518,20,22629.65,0,0
1755336450,851334,2270224,1012.287753,493.2827916,1292,0.002959234,4.511112376,31,27318.77419,0,0
1755336453,3701,9869.333333,370.1,29.95146073,400.8,0.000785563,0.550216187,1,3701,0,0
1755336459,19234,51290.66667,519.8378378,569.6533566,1386.2,0.012826946,2.911144977,3,6320,0,0
1755336462,126631,337682.6667,873.3172414,542.9247195,1292,0.020314028,8.642187172,6,21035.83333,0,0
1755336465,778344,2075584,1008.217617,492.1576918,1292,0.003627447,5.755502488,21,36573,0,0
1755336468,6497,17325.33333,360.9444444,503.7730389,1292,0.139165822,2.567700935,4,1524.5,0,0
1755336471,209586,558896,988.6132075,513.3393738,1292,0.013245805,9.329670021,9,23201.11111,0,0
1755336474,90897,242392,865.6857143,563.9694236,1292,0.025224009,5.965573976,9,10068.11111,0,0
1755336477,47758,127354.6667,782.9180328,582.8474,1292,0.018343298,2.818976603,5,9207.2,0,0
1755336480,3890,10373.33333,216.1111111,397.5484441,543.4,0.047927702,1.864316535,4,956,0,0
1755336483,264,704,66,0,66,0.66897432,0.707075845,1,132,0,0
1755336486,66,176,66,0,66,0,0,0,0,0,0
1755336489,6151,16402.66667,473.1538462,552.9131029,1292,0.166618745,2.576290466,3,2003.333333,0,0
1755336492,41123,109661.3333,893.9782609,558.7344196,1292,0.062488042,5.250606452,3,13593,0,0
1755336495,2071,5522.666667,188.2727273,364.419611,205,0.2874511,1.783340839,2,909.5,0,0
1755336498,330,880,66,0,66,0.502891243,0.968033795,1,132,0,0
1755336501,264,704,66,0,66,0.667620023,1.400294412,1,132,0,0
1755336504,117257,312685.3333,797.6666667,583.1555764,1292,0.012083919,4.689046088,8,14631.5,0,0
1755336507,624,1664,124.8,110.3148222,243.6,0.542927742,1.49846922,1,437,0,0
1755336510,1006,2682.666667,201.2,145.2947349,383.4,0.445538759,1.0782877,1,754,0,0
1755336652,23099,61597.33333,471.4081633,557.1484951,1292,0.056767628,2.563664812,7,3221.714286,0,0
1755336655,20680,55146.66667,328.2539683,431.2504877,1073.6,0.046947514,2.488035525,13,1434.615385,0,0
1755336658,53293,142114.6667,642.0843373,560.0297153,1292,0.027739112,2.981736598,11,4631.818182,0,0
1755336661,179653,479074.6667,787.9517544,576.6514746,1292,0.008393018,2.843871964,18,9759.333333,0,0
1755336664,68805,183480,608.8938053,580.540233,1292,0.019314195,7.155678702,8,8490.375,0,0
1755336667,212871,567656,848.0916335,562.4620851,1292,0.010589336,4.714892504,21,10017.90476,0,0
1755336670,14346,38256,512.3571429,562.1433609,1292,0.086834704,2.6411889,6,2331.333333,0,0
1755336673,103650,276400,893.5344828,551.9519505,1292,0.013941748,3.299564725,11,9292.181818,0,0
1755336676,312627,833672,842.6603774,566.8552519,1292,0.007756281,3.615775011,22,13978.36364,0,0
1755336679,185689,495170.6667,933.1105528,526.8548739,1292,0.014950283,6.999992003,18,10203.33333,0,0
1755336682,92155,245746.6667,822.8125,560.7437588,1292,0.012258586,2.761926385,11,8283.636364,0,0
1755336685,289,770.6666667,289,0,289,0,0,0,0,0,0
1755336688,197489,526637.3333,982.5323383,512.8548525,1292,0.014357005,4.098014306,10,19481.9,0,0
1755336691,112149,299064,824.625,569.8395793,1292,0.014677334,3.155936606,11,9983.454545,0,0
1755336694,240164,640437.3333,941.8196078,534.7251583,1292,0.010403389,3.32857747,15,15855.86667,0,0
1755336697,303755,810013.3333,860.4957507,569.0744193,1292,0.006263222,6.881817226,9,32934.55556,0,0
1755336700,245777,655405.3333,862.3754386,570.2719106,1292,0.010411722,3.325144452,17,14344.82353,0,0
1755336703,449595,1198920,1050.455607,471.5409967,1292,0.006789337,4.063039254,20,22361,0,0
1755336706,192804,514144,841.9388646,567.4650255,1292,0.008612214,4.466912016,13,14550.07692,0,0
1755336712,19535,52093.33333,651.1666667,599.9551141,1292,0.013043724,2.167106767,6,3244.666667,0,0
1755336715,5488,14634.66667,196,344.426231,347,0.096949851,2.305606243,7,735.1428571,0,0
1755336718,20590,54906.66667,332.0967742,447.6800668,1285,0.047296231,1.779021063,12,1452.833333,0,0
1755336721,233238,621968,668.3037249,592.1120901,1292,0.00827221,4.961903822,23,10017.65217,0,0
1755336724,179691,479176,730.4512195,580.6029208,1292,0.010657906,3.016851062,20,8649.5,0,0
1755336727,304196,811189.3333,965.7015873,521.1376077,1292,0.005862036,3.719657406,15,20054,0,0
1755336730,445914,1189104,833.4841121,573.0420604,1292,0.005473594,3.901114779,38,11506.18421,0,0
1755336733,387178,1032474.667,795.026694,578.2407445,1292,0.006086169,3.036555442,35,10892.88571,0,0
1755336736,151044,402784,719.2571429,579.3116939,1292,0.013220378,2.591441261,23,6353.913043,0,0
1755336739,330779,882077.3333,911.2369146,545.9679544,1292,0.007997483,4.254615264,14,23504.14286,0,0
1755336742,361017,962712,878.3868613,555.1744416,1292,0.007254876,2.997972759,28,12739.71429,0,0
1755336745,320117,853645.3333,925.1936416,535.6799256,1292,0.008603605,2.899722767,28,11280.25,0,0
1755336748,113300,302133.3333,760.4026846,578.1090434,1292,0.01838046,3.204891981,15,7387.8,0,0
1755336751,150900,402400,872.2543353,554.284827,1292,0.015684302,3.018277761,14,10667.71429,0,0
1755336754,18749,49997.33333,646.5172414,566.3035387,1292,0.074632926,4.079392611,4,4649.75,0,0
1755336757,16564,44170.66667,318.5384615,468.0795651,1470.6,0.025879374,2.759743043,9,1704.777778,0,0
1755336760,133019,354717.3333,898.777027,541.506168,1292,0.004284932,3.984065886,10,13294.3,0,0
1755336763,916672,2444458.667,919.4302909,581.0872737,1466,0.002364265,12.56383896,23,39770.30435,0,0
1755336766,39486,105296,759.3461538,584.2726868,1292,0.030185863,3.660718035,7,5611.714286,0,0
1755336769,17160,45760,572,552.562636,1292,0.014435275,2.638388356,6,2826.166667,0,0
1755336772,6330,16880,527.5,557.7128144,1292,0.020751346,2.758040621,3,2110,0,0
1755336775,778586,2076229.333,951.8166259,533.985944,1292,0.003655934,7.556850661,22,35341.27273,0,0
1755336778,251377,670338.6667,907.4981949,555.6277721,1292,0.010152638,6.990445501,18,13687.66667,0,0
1755336781,1697.484848,298757.3333,836.0746269,563.5414753,1292,0.012546421,6.237335046,9,12415.55556,0.333333333,0
1755336784,208059,554824,779.247191,593.1726533,1292,0.004404892,4.688937194,15,13827.2,0,0
1755336787,12558,33488,380.5454545,479.5861278,1292,0.037000932,1.583161508,5,2056.8,0,0
1755336790,243774,650064,843.5086505,578.7125857,1292,0.010329132,8.420673503,18,13480.94444,0,0
1755336793,2881988,7685301.333,1037.806266,479.8711535,1292,0.001065818,4.668457069,63,45683.50794,0,0
1755336796,952885,2541026.667,1010.482503,504.9404944,1292,0.003123515,13.30287293,29,32569.48276,0,0
1755336802,2890,7706.666667,206.4285714,324.4726963,270.7,0.066995694,1.60358357,3,901,0,0
1755336805,534481,1425282.667,571.6374332,579.5194359,1292,0.003053369,6.878813573,36,14799.33333,0,0
1755336808,170051,453469.3333,833.5833333,581.5793557,1292,0.009801745,4.157757102,13,12851.46154,0,0
1755336811,307,818.6666667,61.4,5.642694392,66,0.50390774,1.005535509,1,121,0,0
1755336814,521790,1391440,704.1700405,588.8470064,1292,0.003420812,5.710746631,33,15743.66667,0,0
1755336817,1051913,2805101.333,705.5083836,578.333291,1292,0.001960333,6.067105652,47,22329.51064,0,0
1755336820,486083,1296221.333,896.8321033,553.0792963,1292,0.004830841,4.717307021,24,20149.95833,0,0
1755336823,1146,3056,57.3,5.18748494,66,0.105456001,1.741170653,4,214.5,0,0
1755336826,405039,1080104,983.1043689,514.1137782,1292,0.004515248,4.683326575,23,17555.30435,0,0
